name,rating
Tenpu Shijo Kawaramachi Tempura to Ate to Wine,3.28
Tajimaya Don Kihote Kawaramachi Ten,3.02
Tori Sei Kyototawasandoten,3.47
Kazamidori Karasumen Rokkaku Ten,3.05
Sumika Hon Ten,3.48
Kappou Yoshizen,3.56
Kushi Ikuzou Kyoto Higashi Mukaibi,3.01
Figueras,3.33
Tempura Kappo Yano,3.01
Teramachi Yoshikura,3.44
Eldor,3.14
Raiz,3.56
Apollo+,3.45
Wa French &BAR Le HUBLOT,3.29
Il Chianti Kyoto Shijo Muromachi Ten,3.09
node,3.40
Rakuda Ya,3.27
Gyu Kouno,3.29
Kyoryori Kiyojirou,3.57
Creative Yoru no Tobari,3.12
Highball Bar Kyoto Karasuma 1923,3.29
Pizzeria Bar Le Napoli Kyoto Nishiki,3.44
Sakaba Lemon,3.05
Gion Tsubaki,3.42
Fushimi 89 Chome Shokudo,3.30
Itogen,3.26
MATT RESTAURANT2.0,3.09
Izutsu ya Sentochoten,3.12
Gion Wakou RIN,3.01
Shusai Isami,3.10
All Day Dining OPEN,3.08
京Apollo 新町,3.19
Kifune Kiraku,3.50
Sumibi Club Yuu,3.05
Okonomiyaki Teppanyaki Hinoki,3.25
Miyagawacho Tensho,-
Pub & Grill 7 TAPS TAVERN Kyoto Eki,3.14
Kuroge Wagyu Ittogai Yakiniku to Takitate Donabe Gohan Ichiba Koji Karasuma Ten,3.39
Honkaku Sumibi Yaki Unagi En Kyoto Sanjo Ten,3.27
Honmaguro to Sosaku Washoku Ginjo Kuraudo Marutacho Ten,3.54
Sumiyaki Unafuji Daimaru Kyoto Bettei,3.52
Yakinikuya Kei,3.01
Warayaki to Mizutaki Aoi,3.40
il pozzo,3.34
Kiyamachi Sakaba Uomasu,3.07
kakure robata y gaburi,3.14
Sumi Ginjo,3.29
Genka Sakaba Gyutan Keisuke Shijo Karasumaru,3.02
Ishiya Uzumasa Ten,3.15
Rokudenya Sentocho,3.46
Kyoto Arashiyama Goseiyu no Yado Ranzan,3.20
Kushi no Bo Kyotoekiten,3.09
Tairiki Tei,3.41
Steak House Pondo Kyotohonten,3.17
Gion Ishiya,3.31
Gaya Gaya,3.10
Kyoto Umakamon Kyoto Kawaramachi Ten,3.02
Seafood Private rooms Izakaya Hitosaji,3.05
Yuttari Aburi Gibier to Wine Tanzen,3.31
Hinano Kyoto Shi Dobutsuen Ten,3.06
Ternura,3.41
CBA,-
Gihan Ebisudo Sanjo Ten,3.49
Kyoya Kiyomizu Giwon Shinbashi,3.06
Restaurant Kaibotei,3.08
Fujiya,3.22
Umai Dokoro Kyotentou,3.07
KAZUMA,3.21
Pontocho Yakitori Torihara,3.03
Gion Nikutei Shin,3.56
Yakiniku Ishi Ya Demachi Honten,3.06
Okonomiyaki Kyo Chabana Kyoto Minami Shincho Ten,3.14
Yakiniku Korean cold noodles Yuchan. Fukuchiyama Ten,3.19
Ishiyaki Nama Pasta Kuranosuke,3.43
Sakana to Yakitori to Kappo to Totototo,3.53
Hakkaisan Kyoto Ekimae Ten,3.20
Kyo no Musubime,3.26
Wabiya Koreki Do Gion Hanami Koji Honten,3.66
Washoku Daifuku Tei,3.00
Bar agiyao,3.59
Osake to Gohan to Taka,3.12
Sushi Tamahime KYOTO,3.25
Premium Pon Gion Ten,3.04
Pontocho Tanrakuya Toriume,3.09
Teppanyaki Loin,3.26
Koji Happy Hanten Kyoto Poruta Ten,3.23
PIZZA SALVATORE CUOMO & GRILL Kyoto,3.31
Kyoto Kara-age Senmonten Kai,3.20
Gyuso Marunaka Otokoyama Ten,3.35
Taro,3.17
Teppan to Nikomi Donpisha,3.42
Tenpu Tempura to Ate to Wine Shijo Karasuma Ten,3.35
Restaurant Zen,3.13
kogamo,3.17
Kyoto Suehiro Gari,3.38
Sosaku Kushikatsu Narinari,3.23
Gi Han Gyoza,3.42
Kyoya Kiyomizu Nishikofuyacho,3.23
Izakaya Maruya Shijo Kiyamachi Ten,3.06
Raicho Jinja,3.16
Matakichi,3.23
Osake to Oryori Kiharu,3.05
KORAN,3.30
Monaka Do,3.28
Mimaderi,3.31
Kyoto Kushidokoro Azumaya,3.06
koubegyuuteppanyakigionnoichi,3.01
Gyokou Chokusou Ryoushi Goya Kyotoabantiten,3.08
Reggae no Izakaya Rasta,3.06
CRAFT BEER&KYOTO ITALIAN 100K,3.33
Kyono Tamaya,3.09
koshitsuyakitoridashigyouzatoriryouritabenomihoudaitorinotoriko Kyoto Kawaramachi Ten,3.01
Gibier no Nabariya,3.35
honkakuyakinikuyakisuki,3.05
Sandaime Torimero Shijo Karasuma Ten,3.03
Sandaime Torimero Fushimi Momoyama Ten,3.03
Koryouri Takaya,3.63
Imo Matsu Kiyamachi Ten,3.17
Korean Yatai Ryori to Nakkopuse no Omise Namu Sain Ten,3.23
Retro Sakaba Center Fry,3.05
Kiwami saredo French Toast Cafe,3.32
setsu,3.32
Kyoto Gion Unagi Yondaime Kikukawa,3.36
Yakinikuya Taisho,3.01
YOSHIYA,3.36
Yakitori no Waraiya,3.33
T's cafe Kyoto,3.07
saredo Kafe & Dining Kyoto Ten,3.45
KYOTO GATTEN,3.18
SOUL&FOOD Mookie,3.17
Osusume Ya Kyoto Kawaramachi Ten,3.05
Tempura to Wine Kojima Kyobashi Ten,3.22
Nostalgia,3.35
Minmin Sanjo Ohashi Ten,3.24
Gion 245,3.66
Tachinomi Torizuki,3.42
Aji no Mise Kyo wa Sai,3.16
