,name,rating,link,lat,long,avg price,description,primary_cuisine
40,Yakiniku Marutomi Shijo Kawaramachi Ten,3.35,https://tabelog.com/en/kyoto/A2601/A260201/26029233/,35.00358260183613,135.76983103460657,4499.5,"Kyoto Kawaramachi Sta., Yakiniku (BBQ Beef), Izakaya (Tavern), Japanese Cuisine",Japanese
41,Pontocho Robin,3.46,https://tabelog.com/en/kyoto/A2601/A260202/26001889/,35.00763469015908,135.7710754669133,12499.5,"Sanjo Sta., Japanese Cuisine, Hot Pot, Seafood",Japanese
42,Toto 7,3.34,https://tabelog.com/en/kyoto/A2601/A260101/26038128/,34.98941083787834,135.75638268020734,3499.5,"Kyoto Sta., Izakaya (Tavern), Seafood, Sushi",Japanese
43,Niku Pond,3.18,https://tabelog.com/en/kyoto/A2601/A260202/26036634/,35.009683900575894,135.77022572091298,8999.5,"Kyoto Shiyakusho Mae Sta., Yakiniku (BBQ Beef)",Japanese
44,Kyoto Gion Teppanyaki Plancha Ken,3.10,https://tabelog.com/en/kyoto/A2601/A260301/26023389/,35.00428603787529,135.77646408034352,8999.5,"Gion Shijo Sta., Steak, Teppanyaki, Yoshoku (Japanese style western cuisine)",Japanese
45,Genpin Kyoto Gion Fugu Unagi Kani Ryori,3.06,https://tabelog.com/en/kyoto/A2601/A260301/26002743/,35.0028169145755,135.77731598145408,5499.5,"Gion Shijo Sta., Fugu (Pufferfish), Unagi (Eel), Izakaya (Tavern)",Japanese
46,Unagi Yondaime Kikukawa Kyotoekiporutaten,3.26,https://tabelog.com/en/kyoto/A2601/A260101/26036592/,34.986075680670304,135.75937687554062,4499.5,"Kyoto Sta., Unagi (Eel), Japanese Cuisine",Japanese
47,Kobe Gyuu Senmon Ten Kisshoukichi Kawaramachi Sanjo,3.05,https://tabelog.com/en/kyoto/A2601/A260301/26040071/,35.0087548436015,135.76953166893531,8999.5,"Sanjo Sta., Steak, Teppanyaki",Japanese
48,Pontocho Asari,3.12,https://tabelog.com/en/kyoto/A2601/A260201/26037431/,35.00499839265213,135.77107251226278,3499.5,"Gion Shijo Sta., Izakaya (Tavern), Motsu Nabe (Offel Hot Pot), Japanese Cuisine",Japanese
49,Platinum Beef,3.31,https://tabelog.com/en/kyoto/A2601/A260301/26022647/,35.00334184585148,135.77278496703428,6999.5,"Gion Shijo Sta., Teppanyaki, Steak, Baru (Spanish style bar)",Spanish
50,Ihara Da,3.67,https://tabelog.com/en/kyoto/A2601/A260203/26001469/,34.99053473786991,135.73214178023568,12499.5,"Tambaguchi Sta., Japanese Cuisine",Japanese
51,Machiya Kukan Kyoto Kyo Akari,3.15,https://tabelog.com/en/kyoto/A2601/A260101/26024935/,34.981767835318244,135.76093472228044,3499.5,"Kujo Sta., Izakaya (Tavern), Kushi-age (Deep-fried skewers), Hot Pot",Japanese
52,Gion Motose,3.71,https://tabelog.com/en/kyoto/A2601/A260301/26006494/,35.00258293787604,135.77543238032706,24999.5,"Gion Shijo Sta., Japanese Cuisine, Seafood",Japanese
53,Tenichi Kyoto Isetan Ten,3.21,https://tabelog.com/en/kyoto/A2601/A260101/26006121/,34.98588650445891,135.75767202583856,8999.5,"Kyoto Sta., Tempura, Ten-don (Tempura bowl), Japanese Cuisine",Japanese
54,Sushi Toku,3.59,https://tabelog.com/en/kyoto/A2601/A260101/26035349/,34.98891043787938,135.7586717802007,24999.5,"Kyoto Sta., Sushi, Japanese Cuisine",Japanese
55,Kyoto Ekimae Sakaba Jurakudai,3.60,https://tabelog.com/en/kyoto/A2601/A260101/26041195/,34.98932559856349,135.75872032677535,4499.5,"Kyoto Sta., Izakaya (Tavern), Seafood",Japanese
56,Tominokoji Tempura Matsui,3.29,https://tabelog.com/en/kyoto/A2601/A260202/26033471/,35.00780595675862,135.76512317558723,6999.5,"Kyoto Shiyakusho Mae Sta., Tempura, Japanese Cuisine, Izakaya (Tavern)",Japanese
57,Sakana Ryori Agiyao,3.55,https://tabelog.com/en/kyoto/A2601/A260201/26006073/,34.99658986444478,135.76112874595574,17499.5,"Gojo Sta., Seafood, Japanese Cuisine, Izakaya (Tavern)",Japanese
58,Japanese cuisine Sakuragawa,3.72,https://tabelog.com/en/kyoto/A2601/A260202/26000659/,35.01217586425443,135.77068362370522,24999.5,"Kyoto Shiyakusho Mae Sta., Japanese Cuisine",Japanese
59,Fugu Kani Hamo Kizuki,3.33,https://tabelog.com/en/kyoto/A2601/A260101/26036172/,34.988238737880366,135.76044178019268,5499.5,"Kyoto Sta., Fugu (Pufferfish), Crab, Hot Pot",Asian
60,Kyokaiseki to Yuba Ryori Shozankaku Jei A Ru Kyoto Isetan Ten,3.46,https://tabelog.com/en/kyoto/A2601/A260101/26000784/,34.9858523371143,135.75742399245496,6999.5,"Kyoto Sta., Japanese Cuisine, Tofu dishes",Japanese
61,Sushi Dokoro Ima,3.57,https://tabelog.com/en/kyoto/A2601/A260401/26023451/,34.979864237869684,135.71016788014333,8999.5,"Katsura Sta., Sushi, Seafood, Japanese Cuisine",Japanese
62,restaurant muni,3.23,https://tabelog.com/en/kyoto/A2601/A260301/26036138/,35.00814103787107,135.77089328038636,6999.5,"Sanjo Sta., French",French
63,BENOIT Kyoto Alain Ducasse,3.57,https://tabelog.com/en/kyoto/A2601/A260301/26034036/,34.99752393788039,135.77902828027342,12499.5,"Gion Shijo Sta., Bistro, French",French
64,Senda,3.59,https://tabelog.com/en/kyoto/A2601/A260501/26038342/,35.02766573784683,135.73372208060965,17499.5,"Kitano Hakubaicho Sta., Japanese Cuisine, Unagi (Eel)",Japanese
65,Dining bar  MO-JI,3.23,https://tabelog.com/en/kyoto/A2601/A260301/26032801/,35.004910019169685,135.77322680258277,6999.5,"Gion Shijo Sta., Dining bar, Steak, Italian",Italian
66,Sumibi Kushiyaki Torito,3.53,https://tabelog.com/en/kyoto/A2601/A260302/26002638/,35.017653088143,135.7725132195761,3499.5,"Jingu Marutamachi Sta., Yakitori (Grilled chicken skewers), Hot Pot, Izakaya (Tavern)",Japanese
67,dining HARIMAYA,3.34,https://tabelog.com/en/kyoto/A2601/A260301/26003135/,35.00752917199167,135.77256979211575,6999.5,"Sanjo Sta., Dining bar, Japanese Cuisine",Japanese
68,Ishiyakijidori Torikura,3.48,https://tabelog.com/en/kyoto/A2601/A260201/26006163/,35.00507255534428,135.7603903611644,5499.5,"Karasuma Sta., Yakitori (Grilled chicken skewers), Chicken dishes, Izakaya (Tavern)",Japanese
69,Teppanyaki Tokiwa,3.50,https://tabelog.com/en/kyoto/A2601/A260202/26001495/,35.01171700327831,135.7694718010293,17499.5,"Kyoto Shiyakusho Mae Sta., Teppanyaki, Steak",Japanese
70,shikinouta Kyoto Ekimae Ten,3.13,https://tabelog.com/en/kyoto/A2601/A260101/26038652/,34.98801843788054,135.7605139801904,3499.5,"Kyoto Sta., Izakaya (Tavern), Seafood, Shabu shabu (Japanese hotpot)",Japanese
71,OCTAVAR,3.34,https://tabelog.com/en/kyoto/A2601/A260101/26025629/,34.983689237883446,135.7609929801463,4499.5,"Kyoto Sta., Dining bar, Italian, Pizza",Italian
72,NIKUMON Kawaramachi Takeyamachi Ten,3.29,https://tabelog.com/en/kyoto/A2601/A260202/26040878/,35.01581535862529,135.76875026114234,4499.5,"Jingu Marutamachi Sta., Yakiniku (BBQ Beef), Motsu Nabe (Offel Hot Pot), Horumon (BBQ Offel)",Japanese
73,Nikuya no Daidokoro Kyoto Kiyamachi Meat,3.07,https://tabelog.com/en/kyoto/A2601/A260201/26025288/,35.008282945920826,135.77060408732555,3499.5,"Sanjo Sta., Yakiniku (BBQ Beef), Horumon (BBQ Offel), Izakaya (Tavern)",Japanese
